"Sentrix_ID","Tumor_Group","Color"
"205437190001_R05C01","MEL","#E07549"
"205437190001_R07C01","MEL","#E07549"
"205437190001_R08C01","MEL","#E07549"
"205437190002_R03C01","MEL","#E07549"
"205437190002_R04C01","MEL","#E07549"
"205437190002_R05C01","MEL","#E07549"
"205437190002_R06C01","MEL","#E07549"
"205437190002_R07C01","MEL","#E07549"
"205437190002_R08C01","MEL","#E07549"
"205437190004_R01C01","MEL","#E07549"
"205437190004_R02C01","MEL","#E07549"
"205437190004_R03C01","MEL","#E07549"
"205437190004_R04C01","MEL","#E07549"
"205437190004_R06C01","MEL","#E07549"
"205437190005_R08C01","MEL","#E07549"
"205437190006_R01C01","MEL","#E07549"
"205437190006_R02C01","MEL","#E07549"
"205437190006_R03C01","MEL","#E07549"
"205715830107_R07C01","MEL","#E07549"
"206137480084_R05C01","MEL","#E07549"
"206137480084_R06C01","MEL","#E07549"
"206137480084_R07C01","MEL","#E07549"
"206137480056_R01C01","MEL","#E07549"
"206137480056_R03C01","MEL","#E07549"
"206137480096_R05C01","MEL","#E07549"
"206137480096_R06C01","MEL","#E07549"
"206137480096_R07C01","MEL","#E07549"
"206137480096_R08C01","MEL","#E07549"
"206137480107_R01C01","MEL","#E07549"
"206137480107_R02C01","MEL","#E07549"
"206137480107_R03C01","MEL","#E07549"
"206139130070_R08C01","MEL","#E07549"
"206144080021_R06C01","MEL","#E07549"
"206144080021_R08C01","MEL","#E07549"
"206144080100_R08C01","MEL","#E07549"
"206144080128_R01C01","MEL","#E07549"
"206144080128_R02C01","MEL","#E07549"
"206144080128_R03C01","MEL","#E07549"
"206144080128_R04C01","MEL","#E07549"
"206382220057_R01C01","MEL","#E07549"
"206382220057_R04C01","MEL","#E07549"
"206382220057_R06C01","MEL","#E07549"
"206382220057_R07C01","MEL","#E07549"
"206382220070_R02C01","MEL","#E07549"
"206382220070_R08C01","MEL","#E07549"
"206250290025_R03C01","MEL","#E07549"
"206250290044_R08C01","MEL","#E07549"
"205852220124_R03C01","MEL","#E07549"
"206154070060_R02C01","MEL","#E07549"
"206537460112_R03C01","MEL","#E07549"
"206535560041_R03C01","MEL","#E07549"
"201247470018_R07C01","MISC","#DDE051"
"201172520029_R04C01","MISC","#DDE051"
"201172520046_R04C01","MISC","#DDE051"
"204596820024_R08C01","MISC","#DDE051"
"204596820074_R04C01","MISC","#DDE051"
"204424040098_R01C01","MISC","#DDE051"
"204424030008_R04C01","MEL","#E07549"
"204551190040_R07C01","MISC","#DDE051"
"204848060070_R04C01","MISC","#DDE051"
"205091240039_R01C01","MISC","#DDE051"
"205025380038_R06C01","MISC","#DDE051"
"205130650041_R01C01","MISC","#DDE051"
"205111140064_R05C01","MISC","#DDE051"
"205111140055_R06C01","MISC","#DDE051"
"205111140055_R03C01","MISC","#DDE051"
"205111140064_R02C01","MISC","#DDE051"
"204963470111_R05C01","SS","green"
"204963470073_R06C01","MISC","#DDE051"
"204963470111_R04C01","MISC","#DDE051"
"204963470179_R08C01","MISC","#DDE051"
"204964480042_R01C01","MISC","#DDE051"
"204964480042_R03C01","MISC","#DDE051"
"204964480042_R06C01","MISC","#DDE051"
"205715830018_R05C01","MISC","#DDE051"
"205852210009_R03C01","MISC","#DDE051"
"205854130013_R03C01","MISC","#DDE051"
"205854120044_R01C01","MISC","#DDE051"
"205854120044_R05C01","MISC","#DDE051"
"205854120078_R02C01","MISC","#DDE051"
"205854130013_R06C01","MISC","#DDE051"
"205852220085_R04C01","MISC","#DDE051"
"205854120011_R02C01","EWS","#DDE051"
"205854120011_R05C01","MISC","#DDE051"
"205852220045_R04C01","MISC","#DDE051"
"205852220045_R05C01","MISC","#DDE051"
"205832320157_R07C01","MISC","#DDE051"
"205832330046_R03C01","MISC","#DDE051"
"205832330046_R04C01","MISC","#DDE051"
"205832330046_R06C01","MISC","#DDE051"
"205832310008_R05C01","EWS","#DDE051"
"206139120015_R06C01","MISC","#DDE051"
"205841340162_R06C01","MISC","#DDE051"
"205841340162_R07C01","MISC","#DDE051"
"206139120015_R05C01","MISC","#DDE051"
"206137480013_R07C01","MISC","#DDE051"
"206137480013_R08C01","MISC","#DDE051"
"206137480025_R04C01","MISC","#DDE051"
"206137480030_R08C01","NF","#D948E1"
"206137480058_R01C01","MISC","#DDE051"
"206137480058_R02C01","MISC","#DDE051"
"206137480038_R04C01","NF","#D948E1"
"206137480038_R07C01","NF","#D948E1"
"206137480048_R01C01","NF","#D948E1"
"206137480111_R04C01","MISC","#DDE051"
"206139130024_R05C01","MISC","#DDE051"
"206139120161_R07C01","MISC","#DDE051"
"206144080021_R04C01","MISC","#DDE051"
"206139130070_R04C01","MISC","#DDE051"
"206144080002_R08C01","MISC","#DDE051"
"206139130055_R04C01","MISC","#DDE051"
"206139130024_R04C01","MISC","#DDE051"
"206144080021_R01C01","MISC","#DDE051"
"206139130024_R06C01","MISC","#DDE051"
"206139120102_R03C01","MISC","#DDE051"
"206139130056_R03C01","MISC","#DDE051"
"206139120138_R05C01","MISC","#DDE051"
"206139130071_R01C01","MISC","#DDE051"
"206375080011_R02C01","MISC","#DDE051"
"205772290031_R08C01","MISC","#DDE051"
"205772280135_R06C01","MISC","#DDE051"
"205772290012_R06C01","EWS","#7EDE7A"
"206537460134_R08C01","SS","#DDE051"
"206537460141_R01C01","MISC","#DDE051"
"201247470018_R08C01","MPNST","#6F79CB"
"201247470018_R04C01","MPNST","#6F79CB"
"201247470018_R02C01","MPNST","#6F79CB"
"201247470017_R07C01","MPNST","#6F79CB"
"201247470017_R05C01","MPNST","#6F79CB"
"201172520029_R02C01","MPNST","#6F79CB"
"201172520029_R03C01","SS","#6F79CB"
"201172520029_R05C01","MPNST","#6F79CB"
"201247470017_R06C01","MPNST","#6F79CB"
