"Sample","meth.class","meth.family","col"
"GSM2405554_3998920095_R05C02","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405555_3998920096_R01C01","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405556_3998920096_R03C01","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405557_3998920096_R05C01","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405558_3998920094_R03C01","PITUI","PITUI","#58d8db"
"GSM2405559_3998952004_R02C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405560_3998952004_R02C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405561_3998952003_R04C02","GBM, MES","MCF GBM ","#538533"
"GSM2405562_3998920147_R01C01","PITUI","PITUI","#58d8db"
"GSM2405563_3998920147_R03C01","PITUI","PITUI","#58d8db"
"GSM2405564_3998920147_R05C01","PITUI","PITUI","#58d8db"
"GSM2405565_3998920147_R06C01","PITUI","PITUI","#58d8db"
"GSM2405566_3998998187_R01C02","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405567_3998998187_R04C02","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405568_3998998187_R06C02","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405569_3998998189_R02C01","PITAD, STH DNS B","PITAD, STH DNS B","#14c5c9"
"GSM2405570_3998998189_R03C01","PITAD, STH DNS B","PITAD, STH DNS B","#14c5c9"
"GSM2405571_3998998189_R04C01","PITAD, STH DNS A","PITAD, STH DNS A","#01c3bd"
"GSM2405572_3998998189_R06C01","PITAD, STH DNS B","PITAD, STH DNS B","#14c5c9"
"GSM2405573_3998998189_R01C02","PITAD, STH DNS A","PITAD, STH DNS A","#01c3bd"
"GSM2405574_3999002043_R01C01","ANA PA","ANA PA","#734ba9"
"GSM2405575_3999002043_R04C01","ANA PA","ANA PA","#734ba9"
"GSM2405576_3999002043_R05C01","ANA PA","ANA PA","#734ba9"
"GSM2405577_3999002043_R05C02","PITUI","PITUI","#58d8db"
